Airport,IATA Code,Unique Airlines
Princess Juliana International Airport,SXM,4
Saint-Pierre Airport,FSP,1
Cyril E. King Airport,STT,1
Argyle International Airport,SVD,10
Faleolo International Airport,APW,4
Federico Fellini International Airport,RMI,2
King Abdulaziz International Airport,JED,36
Blaise Diagne International Airport,DSS,14
Belgrade Nikola Tesla Airport,BEG,35
Seychelles International Airport,SEZ,19
Lungi International Airport,FNA,5
Singapore Changi Airport,SIN,31
Bratislava Airport,BTS,15
Ljubljana Jože Pučnik Airport,LJU,17
Honiara International Airport,HIR,2
Aden Adde International Airport,MGQ,3
O. R. Tambo International Airport,JNB,27
Incheon International Airport,ICN,30
Juba International Airport,JUB,5
Adolfo Suárez Madrid–Barajas Airport,MAD,57
Bandaranaike International Airport,CMB,30
Khartoum International Airport,KRT,10
Johan Pengel International Airport,PBM,9
Damascus International Airport,DAM,7
São Tomé International Airport,TMS,4
Taiwan Taoyuan International Airport,TPE,30
Dushanbe International Airport,DYU,5
Julius Nyerere International Airport,DAR,15
Suvarnabhumi Airport,BKK,38
Presidente Nicolau Lobato International Airport,DILI,1
Crown Point International Airport,TAB,1
Lomé–Tokoin International Airport,LFW,6
Fua'amotu International Airport,TBU,1
Piarco International Airport,POS,13
Tunis–Carthage International Airport,TUN,26
Istanbul Airport,IST,58
Ashgabat International Airport,ASB,2
Providenciales Airport,PLS,6
Funafuti International Airport,FUN,1
Entebbe International Airport,EBB,14
Boryspil International Airport,KBP,26
Dubai International Airport,DXB,59
London Heathrow Airport,LHR,58
Hartsfield–Jackson Atlanta International Airport,ATL,54
Carrasco International Airport,MVD,10
Tashkent International Airport,TAS,14
Bauerfield International Airport,VLI,5
Leonardo da Vinci–Fiumicino Airport,FCO,2
Simón Bolívar International Airport,CCS,14
Noi Bai International Airport,HAN,13
Wallis Island Airport,WLS,2
Aden International Airport,ADE,3
Kenneth Kaunda International Airport,LUN,10
Robert Gabriel Mugabe International Airport,HRE,7
